,l_bML,l_MF,l_oPA,l_bPF,l_PL,l_bPL,l_ML,l_MD,l_AIP,l_oPL,l_F5,l_oPO,l_AF,l_bAL,l_dAF,l_oML
l_bML,0.0,0.2667757530865554,0.2584866314958717,0.2577248273475434,0.2576537041399817,0.1993391350933491,0.2449509697227555,0.2416920430531719,0.2379817557726312,0.0,0.0,0.1861516204728076,0.0,0.1810374496565884,0.0,0.0
l_MF,0.2667757530865554,0.0,0.2013911276976114,0.1905558728208824,0.0,0.2563278027582076,0.2491043030164603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_oPA,0.2584866314958717,0.2013911276976114,0.0,0.0,0.0,0.1907121256955044,0.2536836466235329,0.2162164848477257,0.1888439405911205,0.0,0.0,0.0,0.0,0.0,0.1785425756178174,0.0
l_bPF,0.2577248273475434,0.1905558728208824,0.0,0.0,0.2202939784165035,0.0,0.2220662240282571,0.0,0.0,0.0,0.0,0.0,0.1842921608314331,0.0,0.0,0.0
l_PL,0.2576537041399817,0.0,0.0,0.2202939784165035,0.0,0.0,0.2284282834522682,0.1865540754750471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777900699650833
l_bPL,0.1993391350933491,0.2563278027582076,0.1907121256955044,0.0,0.0,0.0,0.2264884837678633,0.2339053131072763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_ML,0.2449509697227555,0.2491043030164603,0.2536836466235329,0.2220662240282571,0.2284282834522682,0.2264884837678633,0.0,0.2502226246639495,0.0,0.2341077032236512,0.0,0.0,0.0,0.0,0.0,0.0
l_MD,0.2416920430531719,0.0,0.2162164848477257,0.0,0.1865540754750471,0.2339053131072763,0.2502226246639495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_AIP,0.2379817557726312,0.0,0.1888439405911205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2067762471062059,0.0,0.0,0.0,0.0,0.0
l_oPL,0.0,0.0,0.0,0.0,0.0,0.0,0.2341077032236512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2067762471062059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_oPO,0.1861516204728076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_AF,0.0,0.0,0.0,0.1842921608314331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_bAL,0.1810374496565884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_dAF,0.0,0.0,0.1785425756178174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_oML,0.0,0.0,0.0,0.0,0.1777900699650833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
